Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	control_1 Spectral Count	control_2 Spectral Count	control_3 Spectral Count	control_4 Spectral Count	control_5 Spectral Count	control_6 Spectral Count	control_1 Unique Spectral Count	control_2 Unique Spectral Count	control_3 Unique Spectral Count	control_4 Unique Spectral Count	control_5 Unique Spectral Count	control_6 Unique Spectral Count	control_1 Total Spectral Count	control_2 Total Spectral Count	control_3 Total Spectral Count	control_4 Total Spectral Count	control_5 Total Spectral Count	control_6 Total Spectral Count	control_1 Intensity	control_2 Intensity	control_3 Intensity	control_4 Intensity	control_5 Intensity	control_6 Intensity	control_1 MaxLFQ Intensity	control_2 MaxLFQ Intensity	control_3 MaxLFQ Intensity	control_4 MaxLFQ Intensity	control_5 MaxLFQ Intensity	control_6 MaxLFQ Intensity	Indistinguishable Proteins
sp|P48634|PRC2A_HUMAN	P48634	PRC2A_HUMAN	PRRC2A	2157	Homo sapiens	1:Experimental evidence at protein level	Protein PRRC2A	1.0	0.999	34	251	251	259	46	46	43	39	40	37	46	46	43	39	40	37	48	48	44	40	40	39	1847680.5	1962448.0	1811827.9	1787693.8	1802206.2	1809993.8	155377.89	160399.61	147069.12	152582.27	150253.47	153180.02	
sp|P48637|GSHB_HUMAN	P48637	GSHB_HUMAN	GSS	474	Homo sapiens	1:Experimental evidence at protein level	Glutathione synthetase	1.0	0.999	20	149	0	149	21	27	28	22	29	22	0	0	0	0	0	0	21	27	28	22	29	22	1680374.5	1734514.5	1742762.0	1793068.1	1808254.2	1776605.9	285588.34	287407.34	286434.0	301624.12	289312.97	294935.7	
sp|P48643|TCPE_HUMAN	P48643	TCPE_HUMAN	CCT5	541	Homo sapiens	1:Experimental evidence at protein level	T-complex protein 1 subunit epsilon	1.0	0.999	34	578	0	600	101	100	88	100	96	93	0	0	0	0	0	0	105	103	92	103	100	97	1.5764444E7	1.5939277E7	1.5690986E7	1.6062114E7	1.6260928E7	1.6223605E7	1254725.9	1258486.9	1258243.5	1307762.1	1292064.0	1287526.0	
sp|P48645|NMU_HUMAN	P48645	NMU_HUMAN	NMU	174	Homo sapiens	1:Experimental evidence at protein level	Neuromedin-U	0.9996	0.9988	2	3	0	3	1	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	27731.105	28905.734	15723.935	0.0	23468.953	4981.5615	19895.006	21370.299	0.0	0.0	0.0	0.0	tr|A0A0B4J202|A0A0B4J202_HUMAN
sp|P48681|NEST_HUMAN	P48681	NEST_HUMAN	NES	1621	Homo sapiens	1:Experimental evidence at protein level	Nestin	1.0	0.999	18	61	61	61	13	12	7	10	13	6	13	12	7	10	13	6	13	12	7	10	13	6	534450.75	370948.78	337666.3	505168.16	463826.28	371062.88	66303.375	66110.74	66479.28	72725.016	69737.28	65681.09	
sp|P48723|HSP13_HUMAN	P48723	HSP13_HUMAN	HSPA13	471	Homo sapiens	1:Experimental evidence at protein level	Heat shock 70 kDa protein 13	0.9999	0.9989	2	5	5	5	0	2	1	0	1	1	0	2	1	0	1	1	0	2	1	0	1	1	24100.326	34831.875	24920.285	24013.475	47334.168	43815.97	0.0	20398.611	0.0	0.0	28228.39	25952.33	
sp|P48729|KC1A_HUMAN	P48729	KC1A_HUMAN	CSNK1A1	337	Homo sapiens	1:Experimental evidence at protein level	Casein kinase I isoform alpha	1.0	0.999	12	76	0	76	14	14	13	12	12	11	0	0	0	0	0	0	14	14	13	12	12	11	626426.8	630946.8	609981.5	636481.75	631510.9	614367.2	167720.64	165328.08	158802.1	159700.28	157658.62	161159.44	tr|A0A590UJ43|A0A590UJ43_HUMAN, tr|U3KPX3|U3KPX3_HUMAN
sp|P48730|KC1D_HUMAN	P48730	KC1D_HUMAN	CSNK1D	415	Homo sapiens	1:Experimental evidence at protein level	Casein kinase I isoform delta	1.0	0.999	5	26	0	26	5	5	4	4	4	4	0	0	0	0	0	0	5	5	4	4	4	4	231740.8	193293.67	250294.22	296988.0	259444.7	298407.9	85085.44	70820.375	92536.84	85713.39	86634.375	92239.8	tr|H7BYT1|H7BYT1_HUMAN
sp|P48735|IDHP_HUMAN	P48735	IDHP_HUMAN	IDH2	452	Homo sapiens	1:Experimental evidence at protein level	Isocitrate dehydrogenase [NADP], mitochondrial	1.0	0.999	17	160	47	164	29	27	24	25	31	24	8	9	8	8	7	7	29	27	25	26	32	25	2232241.8	2340923.0	2381657.2	2383470.2	2173628.0	2235983.5	680143.9	662247.44	662755.94	677921.4	643087.6	661664.3	
sp|P48736|PK3CG_HUMAN	P48736	PK3CG_HUMAN	PIK3CG	1102	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform	0.9996	0.999	2	4	1	4	1	1	0	1	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0.0	48387.383	0.0	58471.17	57418.156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P48739|PIPNB_HUMAN	P48739	PIPNB_HUMAN	PITPNB	271	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylinositol transfer protein beta isoform	1.0	0.999	16	83	15	83	16	12	17	13	11	14	4	2	3	2	2	2	16	12	17	13	11	14	1167196.8	1156137.6	1158364.6	1244496.5	1227472.6	1258235.9	179751.5	188337.39	193379.84	201931.3	202934.38	202318.34	
sp|P48813|GNP1_YEAST	P48813	GNP1_YEAST	GNP1	663	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	High-affinity glutamine permease	1.0	0.999	8	22	22	22	8	8	5	0	1	0	8	8	5	0	1	0	8	8	5	0	1	0	260932.31	286574.75	266530.4	157206.25	141295.22	131790.36	64423.293	66681.64	71441.59	39873.645	42361.453	40448.85	
sp|P48836|VATG_YEAST	P48836	VATG_YEAST	VMA10	114	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	V-type proton ATPase subunit G	1.0	0.999	6	43	43	43	11	10	9	3	4	6	11	10	9	3	4	6	11	10	9	3	4	6	1200812.8	1332986.9	1503542.8	612570.0	567267.75	641545.8	699017.5	718988.2	729570.6	422088.16	424045.53	463224.9	
sp|P48837|NUP57_YEAST	P48837	NUP57_YEAST	NUP57	541	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nucleoporin NUP57	1.0	0.999	6	24	24	24	8	4	6	2	2	2	8	4	6	2	2	2	8	4	6	2	2	2	131232.95	160993.3	118243.81	47452.125	52265.844	53755.688	50459.64	48167.77	47639.918	27557.725	30227.166	31598.7	
sp|P48960|AGRE5_HUMAN	P48960	AGRE5_HUMAN	ADGRE5	835	Homo sapiens	1:Experimental evidence at protein level	Adhesion G protein-coupled receptor E5	0.8595	0.9968	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	48855.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P49005|DPOD2_HUMAN	P49005	DPOD2_HUMAN	POLD2	469	Homo sapiens	1:Experimental evidence at protein level	DNA polymerase delta subunit 2	1.0	0.999	10	60	0	60	11	14	7	10	10	8	0	0	0	0	0	0	11	14	7	10	10	8	545915.8	470453.12	491946.88	481754.25	486476.22	450785.06	87192.99	85613.055	89827.016	84628.35	88170.76	87260.37	tr|A0A087WWF6|A0A087WWF6_HUMAN, tr|A0A8V8TMJ5|A0A8V8TMJ5_HUMAN, tr|A0A8V8TPA6|A0A8V8TPA6_HUMAN, tr|A0A8V8TPB6|A0A8V8TPB6_HUMAN, tr|H7C1B3|H7C1B3_HUMAN
sp|P49006|MRP_HUMAN	P49006	MRP_HUMAN	MARCKSL1	195	Homo sapiens	1:Experimental evidence at protein level	MARCKS-related protein	1.0	0.999	6	204	204	204	34	33	40	33	36	28	34	33	40	33	36	28	34	33	40	33	36	28	3733790.0	3615670.2	3525451.2	3424072.8	3377159.0	3406252.5	1158016.0	1081533.6	1057426.0	1032313.9	1014146.8	1017000.7	
sp|P49017|COQ5_YEAST	P49017	COQ5_YEAST	COQ5	307	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	1.0	0.999	3	21	21	21	7	3	5	2	3	1	7	3	5	2	3	1	7	3	5	2	3	1	54775.55	49519.14	38416.285	6680.228	28889.936	25324.16	36766.37	33265.418	30551.701	0.0	0.0	0.0	
sp|P49023|PAXI_HUMAN	P49023	PAXI_HUMAN	PXN	591	Homo sapiens	1:Experimental evidence at protein level	Paxillin	1.0	0.999	8	47	0	47	11	8	5	8	7	8	0	0	0	0	0	0	11	8	5	8	7	8	231039.9	237549.16	203652.62	198557.55	210748.77	255186.02	42288.383	45498.42	41771.305	44360.504	41354.38	43099.395	tr|A0A1B0GTU4|A0A1B0GTU4_HUMAN, tr|F5GZ78|F5GZ78_HUMAN
sp|P49089|ASNS1_YEAST	P49089	ASNS1_YEAST	ASN1	572	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Asparagine synthetase [glutamine-hydrolyzing] 1	1.0	0.999	23	125	125	171	27	28	18	20	14	18	27	28	18	20	14	18	37	36	26	26	20	26	2611078.5	2684271.8	2516583.2	1279204.4	1190765.8	1334314.5	409708.47	413341.84	402297.5	218230.77	210843.92	220540.62	
sp|P49090|ASNS2_YEAST	P49090	ASNS2_YEAST	ASN2	572	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Asparagine synthetase [glutamine-hydrolyzing] 2	1.0	0.999	21	205	159	205	34	41	40	25	32	33	24	33	32	19	26	25	34	41	40	25	32	33	4080290.2	4281800.5	4485455.5	2318054.5	2399033.5	2363501.2	677546.06	664269.94	690473.5	371660.88	375542.38	369497.78	
sp|P49095|GCSP_YEAST	P49095	GCSP_YEAST	GCV2	1034	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glycine dehydrogenase (decarboxylating), mitochondrial	1.0	0.999	24	138	138	138	31	38	29	16	13	11	31	38	29	16	13	11	31	38	29	16	13	11	1558649.0	1654279.6	1614741.4	575791.6	629156.8	528025.8	187307.67	197455.55	193328.86	103446.42	106001.96	101583.92	
sp|P49137|MAPK2_HUMAN	P49137	MAPK2_HUMAN	MAPKAPK2	400	Homo sapiens	1:Experimental evidence at protein level	MAP kinase-activated protein kinase 2	1.0	0.999	7	46	31	46	10	6	8	7	8	7	6	4	6	4	6	5	10	6	8	7	8	7	495979.34	368666.97	395739.94	423203.12	446047.22	464431.34	164625.67	149370.45	158690.55	156649.14	158395.3	173355.1	
sp|P49166|RL37A_YEAST	P49166	RL37A_YEAST	RPL37A	88	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Large ribosomal subunit protein eL37A	1.0	0.999	3	30	30	30	4	4	11	3	4	4	4	4	11	3	4	4	4	4	11	3	4	4	456566.34	373874.8	284046.62	152126.25	176676.0	180000.06	424982.94	129939.29	235066.4	0.0	232362.05	236893.36	
sp|P49167|RL38_YEAST	P49167	RL38_YEAST	RPL38	78	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Large ribosomal subunit protein eL38	1.0	0.999	3	51	51	51	8	7	9	7	9	11	8	7	9	7	9	11	8	7	9	7	9	11	1659647.5	1624565.0	1946998.8	1051737.4	969444.3	1045549.25	778284.9	764063.1	894779.06	503237.6	480689.06	500085.8	
sp|P49189|AL9A1_HUMAN	P49189	AL9A1_HUMAN	ALDH9A1	494	Homo sapiens	1:Experimental evidence at protein level	4-trimethylaminobutyraldehyde dehydrogenase	1.0	0.999	16	114	114	114	18	16	17	19	21	23	18	16	17	19	21	23	18	16	17	19	21	23	1463426.0	1500284.6	1492218.8	1624902.6	1535221.1	1526512.6	263784.47	264499.47	266015.12	285696.25	276503.06	272789.47	
sp|P49207|RL34_HUMAN	P49207	RL34_HUMAN	RPL34	117	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL34	1.0	0.999	6	41	34	41	3	11	5	10	5	7	2	10	4	9	3	6	3	11	5	10	5	7	1061977.5	1112584.5	1219679.2	1199549.2	1268246.5	1272381.4	500089.72	466059.66	499720.2	495924.75	538521.75	524697.25	
sp|P49247|RPIA_HUMAN	P49247	RPIA_HUMAN	RPIA	311	Homo sapiens	1:Experimental evidence at protein level	Ribose-5-phosphate isomerase	1.0	0.999	11	88	88	88	14	17	12	17	15	13	14	17	12	17	15	13	14	17	12	17	15	13	1024019.3	1040844.56	1007135.6	1048713.1	1079125.6	1055775.2	185642.69	190468.03	178296.08	195911.2	203930.4	197286.75	
sp|P49257|LMAN1_HUMAN	P49257	LMAN1_HUMAN	LMAN1	510	Homo sapiens	1:Experimental evidence at protein level	Protein ERGIC-53	1.0	0.999	6	26	26	26	4	4	4	5	6	3	4	4	4	5	6	3	4	4	4	5	6	3	218989.4	224809.25	223350.5	242890.62	245030.69	234628.89	55604.7	57997.312	57091.87	60146.484	57703.285	61129.77	
sp|P49321|NASP_HUMAN	P49321	NASP_HUMAN	NASP	788	Homo sapiens	1:Experimental evidence at protein level	Nuclear autoantigenic sperm protein	1.0	0.999	37	697	107	697	127	121	114	106	118	111	18	18	19	13	20	19	127	121	114	106	118	111	1.503921E7	1.5224365E7	1.4685506E7	1.4858097E7	1.4800277E7	1.4457652E7	1587558.2	1592020.1	1565742.0	1586264.9	1589020.6	1540833.2	
sp|P49327|FAS_HUMAN	P49327	FAS_HUMAN	FASN	2511	Homo sapiens	1:Experimental evidence at protein level	Fatty acid synthase	1.0	0.999	109	1609	27	1609	257	279	269	278	266	260	4	4	5	4	5	5	257	279	269	278	266	260	2.9817652E7	3.0061592E7	2.9028686E7	2.9490286E7	2.9277664E7	2.9037056E7	972783.3	981007.0	944115.7	960450.1	955698.2	938560.2	
sp|P49334|TOM22_YEAST	P49334	TOM22_YEAST	TOM22	152	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial import receptor subunit TOM22	1.0	0.999	2	17	17	17	4	4	2	3	2	2	4	4	2	3	2	2	4	4	2	3	2	2	746775.75	736109.0	698535.25	412945.47	412099.4	312586.84	507503.22	496357.66	473082.03	271946.06	274308.6	218931.56	
sp|P49354|FNTA_HUMAN	P49354	FNTA_HUMAN	FNTA	379	Homo sapiens	1:Experimental evidence at protein level	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	1.0	0.999	10	55	0	55	13	11	5	9	8	9	0	0	0	0	0	0	13	11	5	9	8	9	392139.03	441085.88	386750.12	378679.25	401742.6	309936.97	119774.7	129866.72	121555.37	115570.805	130665.89	117120.1	
sp|P49356|FNTB_HUMAN	P49356	FNTB_HUMAN	FNTB	437	Homo sapiens	1:Experimental evidence at protein level	Protein farnesyltransferase subunit beta	1.0	0.999	5	23	9	23	6	6	1	4	4	2	2	2	1	2	1	1	6	6	1	4	4	2	302472.8	296290.12	120098.734	133037.92	316268.1	147857.33	113089.17	106576.45	108639.0	109698.875	113885.22	114119.95	
sp|P49366|DHYS_HUMAN	P49366	DHYS_HUMAN	DHPS	369	Homo sapiens	1:Experimental evidence at protein level	Deoxyhypusine synthase	1.0	0.999	14	70	7	70	13	11	9	12	11	14	1	1	0	1	2	2	13	11	9	12	11	14	590308.06	682592.75	676699.1	586027.75	591356.0	594736.44	108958.71	110996.5	112498.1	104332.18	109773.23	107359.96	
sp|P49367|LYS4_YEAST	P49367	LYS4_YEAST	LYS4	693	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Homoaconitase, mitochondrial	1.0	0.999	4	7	7	7	1	3	2	1	0	0	1	3	2	1	0	0	1	3	2	1	0	0	59200.426	58308.184	57822.316	57764.395	36894.86	37502.117	32330.734	31959.879	31681.285	20836.861	20134.543	20323.684	
sp|P49368|TCPG_HUMAN	P49368	TCPG_HUMAN	CCT3	545	Homo sapiens	1:Experimental evidence at protein level	T-complex protein 1 subunit gamma	1.0	0.999	36	737	0	737	112	128	125	124	129	119	0	0	0	0	0	0	112	128	125	124	129	119	2.6330632E7	2.650087E7	2.6986236E7	2.7078686E7	2.6796484E7	2.6997482E7	2327821.5	2385556.5	2343391.0	2406526.2	2369367.2	2351513.8	
sp|P49406|RM19_HUMAN	P49406	RM19_HUMAN	MRPL19	292	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein bL19m	1.0	0.999	7	36	0	36	6	7	6	6	4	7	0	0	0	0	0	0	6	7	6	6	4	7	288455.06	289636.6	287463.12	263820.47	319314.47	307231.53	83471.44	78629.516	83989.08	90706.26	86317.52	87064.055	
sp|P49407|ARRB1_HUMAN	P49407	ARRB1_HUMAN	ARRB1	418	Homo sapiens	1:Experimental evidence at protein level	Beta-arrestin-1	1.0	0.999	10	55	12	55	9	9	10	9	9	9	3	1	3	2	1	2	9	9	10	9	9	9	355858.72	408473.5	364622.7	415849.7	373712.6	405779.56	75069.9	77059.64	77139.34	77853.6	74164.48	76828.0	
sp|P49411|EFTU_HUMAN	P49411	EFTU_HUMAN	TUFM	455	Homo sapiens	1:Experimental evidence at protein level	Elongation factor Tu, mitochondrial	1.0	0.999	25	381	340	408	57	67	58	66	62	71	51	60	52	59	57	61	61	70	63	72	66	76	8688128.0	8928674.0	9639017.0	9556426.0	9396848.0	9306448.0	1266723.6	1262317.8	1261533.0	1266020.1	1224093.0	1236595.0	
sp|P49427|UB2R1_HUMAN	P49427	UB2R1_HUMAN	CDC34	236	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 R1	1.0	0.999	5	24	4	24	5	3	2	4	4	6	1	0	0	1	1	1	5	3	2	4	4	6	464517.25	460026.3	295209.47	413357.44	415260.72	424655.28	123500.15	127260.24	113484.64	126393.73	124054.625	127404.51	
sp|P49435|APT1_YEAST	P49435	APT1_YEAST	APT1	187	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Adenine phosphoribosyltransferase 1	1.0	0.999	5	29	29	29	4	6	9	2	3	5	4	6	9	2	3	5	4	6	9	2	3	5	683393.75	699844.44	758130.1	396302.16	401710.2	429097.94	317300.9	312074.9	339713.06	194686.86	183249.23	193715.44	
sp|P49441|INPP_HUMAN	P49441	INPP_HUMAN	INPP1	399	Homo sapiens	1:Experimental evidence at protein level	Inositol polyphosphate 1-phosphatase	0.9978	0.999	2	7	0	7	2	2	0	1	0	2	0	0	0	0	0	0	2	2	0	1	0	2	51655.562	37723.75	29287.043	52089.48	49619.29	43774.473	32901.18	25503.049	0.0	34276.203	30036.762	29114.268	tr|B8ZZF6|B8ZZF6_HUMAN, tr|C9J173|C9J173_HUMAN, tr|E7ENF2|E7ENF2_HUMAN, tr|E7ET59|E7ET59_HUMAN, tr|E7EUX4|E7EUX4_HUMAN
sp|P49448|DHE4_HUMAN	P49448	DHE4_HUMAN	GLUD2	558	Homo sapiens	1:Experimental evidence at protein level	Glutamate dehydrogenase 2, mitochondrial	1.0	0.999	18	13	13	152	2	2	1	2	4	2	2	2	1	2	4	2	30	23	20	28	28	23	87209.49	96319.32	80011.83	91025.87	81258.82	99488.766	55194.75	57817.406	49549.49	58191.695	51161.824	59323.44	
sp|P49454|CENPF_HUMAN	P49454	CENPF_HUMAN	CENPF	3114	Homo sapiens	1:Experimental evidence at protein level	Centromere protein F	1.0	0.999	38	184	0	184	31	28	28	36	28	33	0	0	0	0	0	0	31	28	28	36	28	33	1266405.2	1275574.5	1144806.6	1346393.5	1314435.2	1388978.9	315094.06	311405.56	307315.2	328256.38	327444.44	327786.66	tr|A0A9L9PXU7|A0A9L9PXU7_HUMAN
sp|P49458|SRP09_HUMAN	P49458	SRP09_HUMAN	SRP9	86	Homo sapiens	1:Experimental evidence at protein level	Signal recognition particle 9 kDa protein	1.0	0.999	5	57	27	57	10	11	7	12	10	7	4	4	4	6	6	3	10	11	7	12	10	7	2925729.8	3481126.8	3051298.2	2899995.2	2932458.0	2873637.2	1209291.6	1258181.8	1240921.4	1232507.8	1205347.0	1224540.4	
sp|P49573|CTR1_YEAST	P49573	CTR1_YEAST	CTR1	406	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Copper transport protein CTR1	1.0	0.999	4	37	37	37	5	9	8	6	4	5	5	9	8	6	4	5	5	9	8	6	4	5	428346.94	477362.12	487083.84	236568.67	242805.44	213141.25	244578.16	244044.36	245793.02	121654.43	123321.74	123101.836	
sp|P49585|PCY1A_HUMAN	P49585	PCY1A_HUMAN	PCYT1A	367	Homo sapiens	1:Experimental evidence at protein level	Choline-phosphate cytidylyltransferase A	1.0	0.999	10	79	0	79	12	16	11	12	12	16	0	0	0	0	0	0	12	16	11	12	12	16	518187.0	563490.56	584632.25	553901.94	539579.9	570350.1	110403.914	111764.766	112275.14	117471.99	110578.86	118145.03	tr|C9JEJ2|C9JEJ2_HUMAN
sp|P49588|SYAC_HUMAN	P49588	SYAC_HUMAN	AARS1	968	Homo sapiens	1:Experimental evidence at protein level	Alanine--tRNA ligase, cytoplasmic	1.0	0.999	41	535	0	535	91	94	87	89	90	84	0	0	0	0	0	0	91	94	87	89	90	84	9271794.0	9312343.0	9281523.0	8753097.0	8673713.0	8595895.0	663074.44	676125.1	666534.75	668718.94	652197.7	645160.56	tr|A0A6Q8PF33|A0A6Q8PF33_HUMAN, tr|A0A6Q8PGN5|A0A6Q8PGN5_HUMAN
sp|P49589|SYCC_HUMAN	P49589	SYCC_HUMAN	CARS1	748	Homo sapiens	1:Experimental evidence at protein level	Cysteine--tRNA ligase, cytoplasmic	1.0	0.999	30	270	17	270	45	46	41	45	48	45	3	3	1	2	3	5	45	46	41	45	48	45	2473551.5	2505593.0	2438372.8	2625260.5	2529955.8	2490024.2	195707.5	190923.6	191425.95	200468.36	198138.31	193821.3	
sp|P49591|SYSC_HUMAN	P49591	SYSC_HUMAN	SARS1	514	Homo sapiens	1:Experimental evidence at protein level	Serine--tRNA ligase, cytoplasmic	1.0	0.999	19	277	0	277	48	46	44	48	49	42	0	0	0	0	0	0	48	46	44	48	49	42	4777674.0	4918281.5	4821759.0	4726056.5	4879016.5	4811162.5	591614.3	595741.44	597565.0	606149.44	615224.4	604458.94	tr|Q5T5C7|Q5T5C7_HUMAN
sp|P49593|PPM1F_HUMAN	P49593	PPM1F_HUMAN	PPM1F	454	Homo sapiens	1:Experimental evidence at protein level	Protein phosphatase 1F	1.0	0.999	18	217	0	217	31	38	42	37	33	36	0	0	0	0	0	0	31	38	42	37	33	36	1926291.4	1905847.1	1959463.1	1914599.9	1860257.0	1883902.2	313106.75	315774.47	299637.03	304426.6	301332.47	296810.12	
sp|P49626|RL4B_YEAST	P49626	RL4B_YEAST	RPL4B	362	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Large ribosomal subunit protein uL4B	1.0	0.999	16	14	14	378	2	2	4	2	2	2	2	2	4	2	2	2	70	67	63	59	63	56	492602.0	490196.0	521475.16	273493.66	269038.25	296248.78	357839.16	369003.62	397491.88	215915.52	212841.27	221498.34	
sp|P49642|PRI1_HUMAN	P49642	PRI1_HUMAN	PRIM1	420	Homo sapiens	1:Experimental evidence at protein level	DNA primase small subunit	1.0	0.999	14	88	0	88	21	17	14	13	11	12	0	0	0	0	0	0	21	17	14	13	11	12	443521.72	447002.03	377508.06	425469.38	376469.88	427949.84	71225.02	69752.945	66510.99	70950.41	68886.98	69285.24	tr|A0A5F9ZHB6|A0A5F9ZHB6_HUMAN, tr|A0A9L9PXM3|A0A9L9PXM3_HUMAN
sp|P49643|PRI2_HUMAN	P49643	PRI2_HUMAN	PRIM2	509	Homo sapiens	1:Experimental evidence at protein level	DNA primase large subunit	1.0	0.999	10	47	0	47	8	6	7	10	6	10	0	0	0	0	0	0	8	6	7	10	6	10	404202.25	407158.97	363677.97	428144.22	399368.9	427828.3	80603.36	81196.17	80311.266	87193.234	80238.2	81926.91	tr|A0A5F9ZHU7|A0A5F9ZHU7_HUMAN
sp|P49686|NUP42_YEAST	P49686	NUP42_YEAST	NUP42	430	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nucleoporin NUP42	0.9514	0.999	1	3	3	3	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	12512.201	12544.789	11026.466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P49687|NU145_YEAST	P49687	NU145_YEAST	NUP145	1317	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nucleoporin NUP145	1.0	0.999	7	11	11	11	3	5	2	0	0	1	3	5	2	0	0	1	3	5	2	0	0	1	181003.11	201900.98	162811.89	65377.42	35000.883	87966.625	53792.31	56615.69	51297.074	31025.012	0.0	37366.97	
sp|P49720|PSB3_HUMAN	P49720	PSB3_HUMAN	PSMB3	205	Homo sapiens	1:Experimental evidence at protein level	Proteasome subunit beta type-3	1.0	0.999	8	108	15	108	17	19	14	24	17	17	2	3	2	4	2	2	17	19	14	24	17	17	2539905.5	2566278.0	2452380.2	2387535.5	2291630.8	2237576.5	1071904.0	1079023.9	1060164.9	1074993.9	1075360.5	1045499.6	
sp|P49721|PSB2_HUMAN	P49721	PSB2_HUMAN	PSMB2	201	Homo sapiens	1:Experimental evidence at protein level	Proteasome subunit beta type-2	1.0	0.999	9	112	51	112	19	16	20	21	19	17	11	7	10	7	8	8	19	16	20	21	19	17	1410578.1	1442096.5	1573669.8	1701314.5	1611051.4	1646996.0	399494.3	402084.25	444752.38	459819.06	442723.9	456116.72	
sp|P49723|RIR4_YEAST	P49723	RIR4_YEAST	RNR4	345	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ribonucleoside-diphosphate reductase small chain 2	1.0	0.999	9	98	98	98	20	18	21	14	12	13	20	18	21	14	12	13	20	18	21	14	12	13	3670350.8	3640646.2	3859098.2	2150299.2	2042210.4	2177162.0	784951.75	764596.4	807032.25	450769.84	417607.75	452505.47	
sp|P49736|MCM2_HUMAN	P49736	MCM2_HUMAN	MCM2	904	Homo sapiens	1:Experimental evidence at protein level	DNA replication licensing factor MCM2	1.0	0.999	35	394	16	394	66	69	60	68	65	66	3	3	3	2	3	2	66	69	60	68	65	66	6834988.0	7218200.5	6858786.5	7829425.5	7295898.0	7144056.0	740756.1	756396.0	739712.94	752125.56	752764.4	762284.8	
sp|P49748|ACADV_HUMAN	P49748	ACADV_HUMAN	ACADVL	655	Homo sapiens	1:Experimental evidence at protein level	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	1.0	0.999	20	166	48	166	27	27	29	27	27	29	7	7	8	8	8	10	27	27	29	27	27	29	1956949.1	2083501.5	2012435.6	2019325.4	2089766.2	1983689.5	303280.22	318151.1	307825.4	304713.34	314069.12	293445.94	
sp|P49750|YLPM1_HUMAN	P49750	YLPM1_HUMAN	YLPM1	2146	Homo sapiens	1:Experimental evidence at protein level	YLP motif-containing protein 1	1.0	0.999	31	173	0	173	29	41	25	29	27	22	0	0	0	0	0	0	29	41	25	29	27	22	937484.75	1150495.2	1110956.1	1070941.2	1144291.4	998555.8	81657.04	84374.72	81095.84	81287.22	84382.92	83980.516	
